Type,Nom du BOSS,Valeur BOSS,Nom normal,Valeur normale
PV,Chaos Knight,260,Chaos Knight,130
PV,Winter Caller Beast,420,Winter Caller,140
PV,Night Caller,420,Night Caller,140
PV,Vortex Dragon,330,Vortex Dragon,110
PV,Holy Light Knight,260,Knight of Light,130
Attaque,Melupa,90,Melupa,75
Attaque,Volt Meow,80,Volt Meow,75
Attaque,Snow Mammoth,90,Snow Mammoth,85
Vitesse,Zixialu,1000,Zixia Deer,900
Vitesse,Suzaku,1200,Suzaku,1100
Vitesse,Yunhailu,1150,Cloud Sea Deer,1050
Vitesse,Hell Flame King,1000,Hellfire King,900
Vitesse,Hell King,1000,Hell King,900
Vitesse,Heterogeneous Griffin,1300,Heterogeneous Griffin,1200
Vitesse,Ye Panda,800,Ye Panda,700
Vitesse,Flame Glory,1000,Flame Glory,900
Vitesse,Severe Winter Deer,800,Deer in Severe Winter,700
Vitesse,Thunderbird,1300,Thunderbird,1200
Vitesse,Snow Mammoth,700,Snow Mammoth,600
Vitesse,Evil Qilin,1400,Evil Unicorn,1300
Vitesse,Laughing Nightmare Cat,900,Laughing Nightmare Cat,800
Vitesse,Tianyulong,1050,Tianyulong,950
Vitesse,Teng Yanlong,800,Teng Yanlong,700
Vitesse,Firebird,1400,Flamingo,1300
Vitesse,Water Spirit Dragon,900,Water Spirit Dragon,800
Vitesse,Frost Song Dragon,950,Frost Song Dragon,850
Vitesse,Soul-Eating Beast,900,Soul Eater,800
Vitesse,Mammoth,700,Mammoth,600
Vitesse,Lava Beast,650,Lava Beast,550
Vitesse,Qingque,1200,Qingque,1100
Vitesse,Jiyuelu,1000,Only a Deer,900
Vitesse,Thunder Dog,1200,Thunder Dog,1150
Vitesse,Pekeron,900,Pecorone,800
Vitesse,Pike Dragon,900,Parker,800
Vitesse,Demon Dragon,900,Demon Dragon,800
Vitesse,Melupa,900,Melupa,800
Vitesse,Daddy Mao,600,Dad Mao,500
Vitesse,Green Moss Velvet Monster,650,Green Moss Velvet,550
Vitesse,Quicksand Snake,750,Quicksand Snake,650
Vitesse,Lianlilong,600,Lian Lilong,500
Vitesse,Leipanda,800,Lei Panda,700
Vitesse,Thunderbird,1200,Thunderbird,1100
Vitesse,Thunderhorne,1200,Thunder Wildebeest,1100
Vitesse,Thunder Crown Dragon,800,Thunder Guanlong,700
Vitesse,King Melupa,800,King Melupa,700
Vitesse,Elf Dragon,900,Faerie Dragon,800
Vitesse,Whirlpool Weasel,900,Whirling Weasel,800
Vitesse,Gale Falcon,850,Swift Falcon,750
Vitesse,Fire Qilin,1400,Fire Unicorn,1300
Vitesse,Night Caller,1600,Night Caller,1500
Vitesse,Winter Caller Beast,1600,Winter Caller,1500
Vitesse,Water Skiing Snake,750,Water-Sliding Snake,650
Vitesse,Corolla Dragon,800,Corolla Dragon,700
Vitesse,Horus,1500,Horus,1400
Vitesse,Frost Beast,650,Frost Beast,550
Vitesse,Allison,600,Allother,500
Vitesse,Sea-Covering Dragon,800,Sea-Covering Dragon,700
Vitesse,Fenggelong,950,Fenggelong,850
Vitesse,Blazing Ox,900,Blazing Ox,800
Vitesse,Grassy Pig,800,Sage Pig,700
Vitesse,Blue Flame Wolf,1000,Blue Flame Wolf,900
Vitesse,Ice Emperor Melupa,800,Ice Emperor Melpa,700
Vitesse,Bihailong,900,Bihailong,800
Vitesse,Lightning Bear,650,Lightning Bear,550
Vitesse,White Velvet Snow Monster,650,White Velvet Snow Monster,550
